what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023188363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1334023193154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1334023199522
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1334023201651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023203257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023203479
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1334023218060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023231571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023252347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023272519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023294832
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1334023296991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023304057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023319538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1334023329611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023381378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023381649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1334023385537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023411125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1334023411189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334023428626
